pin,slack
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Test_Generator_Enable_1_sqmuxa_0_a2_0_a2_3_a3_0_a2:A,-1825
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Test_Generator_Enable_1_sqmuxa_0_a2_0_a2_3_a3_0_a2:B,-1873
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Test_Generator_Enable_1_sqmuxa_0_a2_0_a2_3_a3_0_a2:C,-1919
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Test_Generator_Enable_1_sqmuxa_0_a2_0_a2_3_a3_0_a2:Y,-1919
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer_5[22]:A,175482
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer_5[22]:B,175158
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer_5[22]:C,175379
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer_5[22]:Y,175158
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_state[2]:ALn,175093
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_state[2]:CLK,175288
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_state[2]:D,174472
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_state[2]:Q,175288
UART_Protocol_1/UART_RX_Protocol_0/state_reg_ns_i_a4[1]:A,173889
UART_Protocol_1/UART_RX_Protocol_0/state_reg_ns_i_a4[1]:B,173833
UART_Protocol_1/UART_RX_Protocol_0/state_reg_ns_i_a4[1]:C,173772
UART_Protocol_1/UART_RX_Protocol_0/state_reg_ns_i_a4[1]:D,173666
UART_Protocol_1/UART_RX_Protocol_0/state_reg_ns_i_a4[1]:Y,173666
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_sel.tx_2_u_i_m2_2_1_wmux_2:A,172987
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_sel.tx_2_u_i_m2_2_1_wmux_2:B,173810
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_sel.tx_2_u_i_m2_2_1_wmux_2:C,173780
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_sel.tx_2_u_i_m2_2_1_wmux_2:D,173735
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_TX/xmit_sel.tx_2_u_i_m2_2_1_wmux_2:Y,172987
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_CLOCK_GEN/genblk1.baud_cntr_RNIJ8084[4]:B,175030
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_CLOCK_GEN/genblk1.baud_cntr_RNIJ8084[4]:CC,173190
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_CLOCK_GEN/genblk1.baud_cntr_RNIJ8084[4]:P,175030
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_CLOCK_GEN/genblk1.baud_cntr_RNIJ8084[4]:S,173190
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_CLOCK_GEN/genblk1.baud_cntr_RNIJ8084[4]:Y3,
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_CLOCK_GEN/genblk1.baud_cntr_RNIJ8084[4]:Y3A,
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/COREFIFO_C0_COREFIFO_C0_0_LSRAM_top_R0C0/CFG_28:A,908
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/COREFIFO_C0_COREFIFO_C0_0_LSRAM_top_R0C0/CFG_28:Y,908
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.full_r:ALn,2833
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.full_r:CLK,1438
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.full_r:D,638
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.full_r:Q,1438
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/sc_r_fwft[12]:ALn,2833
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/sc_r_fwft[12]:CLK,29
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/sc_r_fwft[12]:D,2527
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/sc_r_fwft[12]:EN,1978
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/sc_r_fwft[12]:Q,29
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/state_reg_ns_0_0_0_a3_1_0[0]:A,2467
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/state_reg_ns_0_0_0_a3_1_0[0]:B,1608
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/state_reg_ns_0_0_0_a3_1_0[0]:Y,1608
Controler_0/Answer_Encoder_0/cmd_ID[5]:ALn,2833
Controler_0/Answer_Encoder_0/cmd_ID[5]:CLK,-175
Controler_0/Answer_Encoder_0/cmd_ID[5]:D,3922
Controler_0/Answer_Encoder_0/cmd_ID[5]:EN,2872
Controler_0/Answer_Encoder_0/cmd_ID[5]:Q,-175
Controler_0/Answer_Encoder_0/cmd_ID[5]:SLn,3072
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/shift_mem_reg[1][0]:ALn,2833
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/shift_mem_reg[1][0]:CLK,3119
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/shift_mem_reg[1][0]:D,3970
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/shift_mem_reg[1][0]:Q,3119
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.empty_r:ALn,2833
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.empty_r:CLK,-708
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.empty_r:D,-1112
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.empty_r:Q,-708
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_RNI3JN1C[3]:B,2731
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_RNI3JN1C[3]:C,766
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_RNI3JN1C[3]:CC,738
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_RNI3JN1C[3]:P,766
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_RNI3JN1C[3]:S,738
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_RNI3JN1C[3]:Y3,
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_RNI3JN1C[3]:Y3A,
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/un1_sc_r_fwft_cry_5:B,1981
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/un1_sc_r_fwft_cry_5:CC,
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/un1_sc_r_fwft_cry_5:P,1981
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/un1_sc_r_fwft_cry_5:Y3,
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/un1_sc_r_fwft_cry_5:Y3A,
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[0],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[1],2531
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[2],2498
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[3],2324
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[4],2273
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[5],2245
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[6],2304
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[7],2258
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:CC[8],2223
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[0],2273
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[1],2223
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[2],2291
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[3],2352
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[4],2301
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[5],2359
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[6],2495
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[7],2545
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:P[8],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[0],2287
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[1],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[2],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[3],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[4],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[5],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[6],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[7],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3A[8],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[0],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[1],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[2],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[3],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[4],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[5],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[6],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[7],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_3_CC_0:Y3[8],
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_4_4_cry_8:B,2495
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_4_4_cry_8:C,2871
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_4_4_cry_8:CC,2304
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_4_4_cry_8:P,2495
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_4_4_cry_8:S,2304
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_4_4_cry_8:Y3,
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_4_4_cry_8:Y3A,
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[0],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[10],2669
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[1],2967
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[2],2934
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[3],2766
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[4],2715
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[5],2687
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[6],2746
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[7],2700
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[8],2665
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:CC[9],2722
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[0],2709
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[10],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[1],2665
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[2],2733
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[3],2794
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[4],2743
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[5],2801
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[6],2769
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[7],2738
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[8],2801
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:P[9],2955
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[0],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[10],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[1],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[2],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[3],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[4],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[5],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[6],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[7],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[8],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3A[9],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[0],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[10],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[1],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[2],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[3],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[4],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[5],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[6],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[7],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[8],
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_s_314_CC_0:Y3[9],
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_RX/rx_bit_cnt[0]:ALn,175093
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_RX/rx_bit_cnt[0]:CLK,173810
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_RX/rx_bit_cnt[0]:D,173793
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_RX/rx_bit_cnt[0]:Q,173810
Data_Block_0/Trigger_Top_Part_0/Trigger_Main_0/Remaining_Number_Of_Samples_RNO_0[13]:A,2336
Data_Block_0/Trigger_Top_Part_0/Trigger_Main_0/Remaining_Number_Of_Samples_RNO_0[13]:B,2425
Data_Block_0/Trigger_Top_Part_0/Trigger_Main_0/Remaining_Number_Of_Samples_RNO_0[13]:C,-1007
Data_Block_0/Trigger_Top_Part_0/Trigger_Main_0/Remaining_Number_Of_Samples_RNO_0[13]:D,955
Data_Block_0/Trigger_Top_Part_0/Trigger_Main_0/Remaining_Number_Of_Samples_RNO_0[13]:Y,-1007
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/emptyi_fwftlto10_4:A,172130
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/emptyi_fwftlto10_4:B,172079
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/emptyi_fwftlto10_4:Y,172079
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/wptr_gray_3[1]:A,175470
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/wptr_gray_3[1]:B,175429
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/wptr_gray_3[1]:Y,175429
UART_Protocol_0/mko_0/counter[5]:ALn,175093
UART_Protocol_0/mko_0/counter[5]:CLK,172299
UART_Protocol_0/mko_0/counter[5]:D,169699
UART_Protocol_0/mko_0/counter[5]:Q,172299
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_bit_cnt_0_sqmuxa_0_a4:A,174416
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_bit_cnt_0_sqmuxa_0_a4:B,174368
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_bit_cnt_0_sqmuxa_0_a4:C,174222
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_bit_cnt_0_sqmuxa_0_a4:Y,174222
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:A,173856
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:B,173798
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:C,173769
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:D,173657
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:Y,173657
UART_Protocol_0/mko_0/counter_5_cry_7_0:A,169632
UART_Protocol_0/mko_0/counter_5_cry_7_0:B,171278
UART_Protocol_0/mko_0/counter_5_cry_7_0:C,174811
UART_Protocol_0/mko_0/counter_5_cry_7_0:CC,169712
UART_Protocol_0/mko_0/counter_5_cry_7_0:P,169632
UART_Protocol_0/mko_0/counter_5_cry_7_0:S,169712
UART_Protocol_0/mko_0/counter_5_cry_7_0:Y3,
UART_Protocol_0/mko_0/counter_5_cry_7_0:Y3A,171329
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[3]:ALn,2833
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[3]:CLK,-636
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[3]:D,2766
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[3]:EN,2504
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[3]:Q,-636
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[30]:ALn,175093
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[30]:CLK,175482
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[30]:D,173519
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[30]:EN,173786
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[30]:Q,175482
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[22]:ALn,2833
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[22]:CLK,797
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[22]:D,-9
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[22]:Q,797
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[22]:SLn,1056
UART_Protocol_0/UART_TX_Protocol_0/counter[1]:ALn,175767
UART_Protocol_0/UART_TX_Protocol_0/counter[1]:CLK,174508
UART_Protocol_0/UART_TX_Protocol_0/counter[1]:D,175435
UART_Protocol_0/UART_TX_Protocol_0/counter[1]:EN,175819
UART_Protocol_0/UART_TX_Protocol_0/counter[1]:Q,174508
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/dout_4[16]:A,175482
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/dout_4[16]:B,175242
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/dout_4[16]:C,172650
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/dout_4[16]:Y,172650
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[8]:ALn,175093
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[8]:CLK,175482
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[8]:D,173417
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[8]:EN,173786
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[8]:Q,175482
Controler_0/REGISTERS_0/memory_memory_0_0/CFG_5:B,2796
Controler_0/REGISTERS_0/memory_memory_0_0/CFG_5:C,2794
Controler_0/REGISTERS_0/memory_memory_0_0/CFG_5:IPB,2796
Controler_0/REGISTERS_0/memory_memory_0_0/CFG_5:IPC,2794
Controler_0/REGISTERS_0/memory_memory_0_0/CFG_5:IPD,
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/int_MEMRD_fwft_1[34]:A,2138
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/int_MEMRD_fwft_1[34]:B,2328
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/int_MEMRD_fwft_1[34]:C,401
